TeamAvgSalary,Team,Season
257.5,POR,2010
156.19,TOR,2011
102.38000000000004,SAC,2011
512.0500000000002,MEM,2012
335.68999999999994,NYK,2012
88.66999999999999,GSW,2012
70.61,CLE,2012
123.54,MIL,2013
303.86,ATL,2013
305.53000000000003,POR,2014
305.53000000000003,POR,2015
26.760000000000005,DET,2015
379.86,OKC,2016
26.25,MIL,2017
196.57000000000002,ATL,2017
180.01000000000002,MIN,2010
246.51000000000002,NOH,2010
411.15999999999997,OKC,2010
139.19,MIL,2011
419.7200000000001,ATL,2011
220.08,NJN,2012
126.3,DAL,2012
244.35,TOR,2013
59.519999999999996,SAC,2013
158.21999999999997,MIN,2014
411.15999999999997,OKC,2014
379.86,OKC,2015
138.04999999999998,CHO,2016
26.760000000000005,DET,2016
240.17000000000002,SAC,2017
179.35,TOR,2017
226.58,TOR,2010
140.23,CHA,2010
147.60999999999999,SAC,2010
305.53000000000003,POR,2011
134.23,DEN,2012
360.87000000000006,ORL,2012
23.34,LAL,2012
162.41000000000003,HOU,2012
204.97999999999996,TOT,2012
221.82,SAS,2012
77.58000000000001,UTA,2012
263.96000000000004,LAC,2012
194.0,NOH,2013
411.15999999999997,OKC,2013
115.64,MIN,2013
244.35,TOR,2014
163.51000000000002,SAC,2015
244.35,TOR,2015
35.89,MIL,2016
254.3,ATL,2016
159.10000000000002,OKC,2017
31.570000000000004,BOS,2010
74.25,PHO,2010
158.00999999999996,NJN,2010
126.3,DAL,2010
32.080000000000005,IND,2011
152.29,CHI,2011
348.40000000000015,PHI,2011
248.51999999999998,NOH,2012
163.68,MIN,2012
411.15999999999997,OKC,2012
104.46999999999998,ORL,2013
60.1,WAS,2013
348.64,LAC,2013
234.31,DEN,2013
259.61000000000007,TOT,2013
221.82,SAS,2013
192.03,LAL,2013
326.25,NOP,2014
74.25,PHO,2014
265.4,DAL,2014
365.2300000000001,BRK,2014
298.76,NOP,2015
430.68000000000006,DAL,2015
403.01000000000005,BRK,2015
228.83,NYK,2016
395.7600000000001,MEM,2016
303.85,GSW,2016
218.07,CLE,2016
350.61,SAS,2017
226.60999999999999,HOU,2017
551.5500000000002,TOT,2017
140.17,LAL,2017
96.04,MIA,2017
452.61,LAC,2017
208.39999999999998,UTA,2017
26.760000000000005,ORL,2017
49.309999999999995,DEN,2017
27.490000000000002,WAS,2017
284.41999999999996,DEN,2010
384.2100000000001,ORL,2010
148.26,HOU,2010
26.25,MIA,2010
289.68000000000006,SAS,2010
197.74000000000004,LAC,2010
306.05999999999995,UTA,2010
85.45999999999998,WAS,2010
26.760000000000005,TOT,2010
488.8600000000001,MEM,2011
161.35,GSW,2011
55.62,CLE,2011
192.07999999999996,TOR,2012
59.519999999999996,SAC,2012
100.5,PHO,2013
158.38,DAL,2013
365.2300000000001,BRK,2013
104.46999999999998,ORL,2014
60.1,WAS,2014
451.0400000000001,LAC,2014
331.72000000000014,TOT,2014
26.25,MIA,2014
254.42999999999995,SAS,2014
180.26000000000002,HOU,2014
46.839999999999996,UTA,2014
51.58,DEN,2014
60.64000000000001,LAL,2014
405.30000000000007,TOT,2015
225.36999999999998,HOU,2015
464.19000000000017,LAC,2015
132.54,MIA,2015
254.42999999999995,SAS,2015
55.67,LAL,2015
168.87999999999997,IND,2016
106.42999999999999,PHO,2017
254.84999999999994,DAL,2017
110.50999999999998,NOP,2017
184.71,BOS,2017
113.38,BRK,2017
139.19,MIL,2010
419.7200000000001,ATL,2010
334.63000000000005,NOH,2011
163.68,MIN,2011
411.15999999999997,OKC,2011
153.0,IND,2012
152.29,CHI,2012
325.2100000000001,PHI,2012
305.53000000000003,POR,2013
223.0,ATL,2014
87.09,MIL,2014
122.98000000000003,MIL,2015
254.3,ATL,2015
232.61,SAC,2016
179.35,TOR,2016
125.42999999999996,CHO,2017
27.87,DET,2017
106.28999999999999,CHI,2010
303.9,PHI,2010
232.73,DAL,2011
113.38,NJN,2011
167.06,MIL,2012
358.38,ATL,2012
408.3100000000001,MEM,2013
369.49,NYK,2013
261.62,GSW,2013
103.56000000000003,CLE,2013
120.91999999999999,IND,2014
76.83000000000001,PHI,2014
153.86999999999998,IND,2015
408.2800000000001,SAS,2016
294.1999999999999,HOU,2016
180.54000000000002,MIA,2016
279.5,TOT,2016
395.6200000000001,LAC,2016
49.309999999999995,DEN,2016
27.490000000000002,ORL,2016
33.88,LAL,2016
372.4200000000001,MEM,2017
173.67,NYK,2017
540.1899999999998,GSW,2017
218.07,CLE,2017
457.29,MEM,2010
161.35,GSW,2010
97.85000000000001,CLE,2010
110.75,DEN,2011
360.87000000000006,ORL,2011
585.7900000000001,TOT,2011
23.34,LAL,2011
331.91,SAS,2011
197.74000000000004,LAC,2011
88.16,HOU,2011
85.45999999999998,WAS,2011
32.949999999999996,UTA,2011
400.6700000000001,POR,2012
138.89999999999998,CHI,2013
228.67,PHI,2013
120.91999999999999,IND,2013
408.9100000000001,MEM,2014
369.49,NYK,2014
303.85,GSW,2014
126.35000000000001,CLE,2014
436.7800000000001,MEM,2015
201.16,NYK,2015
303.85,GSW,2015
171.25999999999996,CLE,2015
298.76,NOP,2016
106.42999999999999,PHO,2016
249.78000000000003,BRK,2016
483.16,DAL,2016
65.0,BOS,2016
35.89,PHI,2017
239.74999999999997,IND,2017
