Player,Salary,Season,Team
Aaron Gray,1028840.0,2010,NOH
Aaron Gray,2500000.0,2011,TOR
Aaron Gray,2575000.0,2012,TOR
Aaron Gray,2690875.0,2013,TOR
Aaron Gray,1227985.0,2014,DET
Aaron Gray,452059.0,2015,DET
Aaron Gray,452059.0,2016,DET
Aaron Gray,452059.0,2017,DET
Al Horford,5444857.0,2010,ATL
Al Horford,12000000.0,2011,ATL
Al Horford,12000000.0,2012,ATL
Al Horford,12000000.0,2013,ATL
Al Horford,12000000.0,2014,ATL
Al Horford,12000000.0,2015,ATL
Al Horford,26540100.0,2016,BOS
Al Horford,27734405.0,2017,BOS
Al-Farouq Aminu,2563320.0,2010,LAC
Al-Farouq Aminu,2755560.0,2011,NOH
Al-Farouq Aminu,2947800.0,2012,NOH
Al-Farouq Aminu,3700000.0,2013,NOH
Al-Farouq Aminu,981084.0,2014,DAL
Al-Farouq Aminu,7500000.0,2015,POR
Al-Farouq Aminu,7680965.0,2016,POR
Al-Farouq Aminu,7319035.0,2017,POR
Amir Johnson,5000000.0,2010,TOR
Amir Johnson,5500000.0,2011,TOR
Amir Johnson,6000000.0,2012,TOR
Amir Johnson,6500000.0,2013,TOR
Amir Johnson,7000000.0,2014,TOR
Amir Johnson,12000000.0,2015,BOS
Amir Johnson,12000000.0,2016,BOS
Amir Johnson,11000000.0,2017,PHI
Anderson Varejao,7281818.0,2010,CLE
Anderson Varejao,7700000.0,2011,CLE
Anderson Varejao,8368182.0,2012,CLE
Anderson Varejao,9036364.0,2013,CLE
Anderson Varejao,9704595.0,2014,CLE
Anderson Varejao,9638554.0,2015,POR
Anderson Varejao,1984005.0,2016,POR
Anderson Varejao,1913345.0,2017,POR
Andre Iguodala,12345250.0,2010,PHI
Andre Iguodala,13531750.0,2011,PHI
Andre Iguodala,14968250.0,2012,DEN
Andre Iguodala,12868632.0,2013,GSW
Andre Iguodala,12289544.0,2014,GSW
Andre Iguodala,11710456.0,2015,GSW
Andre Iguodala,11131368.0,2016,GSW
Andre Iguodala,14814815.0,2017,GSW
Andrew Bogut,11000000.0,2010,MIL
Andrew Bogut,12000000.0,2011,MIL
Andrew Bogut,13000000.0,2012,GSW
Andrew Bogut,14000000.0,2013,GSW
Andrew Bogut,12972973.0,2014,GSW
Andrew Bogut,12000000.0,2015,GSW
Andrew Bogut,11027027.0,2016,PHI
Andrew Bogut,2328652.0,2017,LAL
Arron Afflalo,1959577.0,2010,DEN
Arron Afflalo,7562500.0,2011,DEN
Arron Afflalo,7750000.0,2012,ORL
Arron Afflalo,7312500.0,2013,ORL
Arron Afflalo,7750000.0,2014,POR
Arron Afflalo,8000000.0,2015,NYK
Arron Afflalo,12500000.0,2016,SAC
Arron Afflalo,2328652.0,2017,ORL
Beno Udrih,6478600.0,2010,SAC
Beno Udrih,6925400.0,2011,MIL
