Team,Season,2010,2011,2012,2013,2014,2015,2016,2017
DEN,2010,1,0,0,0,0,0,0,0
POR,2010,1,0,0,0,0,0,0,0
BOS,2010,1,0,0,0,0,0,0,0
ORL,2010,1,0,0,0,0,0,0,0
DEN,2010,1,0,0,0,0,0,0,0
HOU,2010,1,0,0,0,0,0,0,0
ORL,2010,1,0,0,0,0,0,0,0
POR,2010,1,0,0,0,0,0,0,0
POR,2010,1,0,0,0,0,0,0,0
MIA,2010,1,0,0,0,0,0,0,0
TOR,2010,1,0,0,0,0,0,0,0
MIL,2010,1,0,0,0,0,0,0,0
MIN,2010,1,0,0,0,0,0,0,0
SAC,2010,1,0,0,0,0,0,0,0
CHA,2010,1,0,0,0,0,0,0,0
NOH,2010,1,0,0,0,0,0,0,0
OKC,2010,1,0,0,0,0,0,0,0
MEM,2010,1,0,0,0,0,0,0,0
GSW,2010,1,0,0,0,0,0,0,0
CHI,2010,1,0,0,0,0,0,0,0
TOR,2010,1,0,0,0,0,0,0,0
PHO,2010,1,0,0,0,0,0,0,0
OKC,2010,1,0,0,0,0,0,0,0
MIN,2010,1,0,0,0,0,0,0,0
GSW,2010,1,0,0,0,0,0,0,0
SAC,2010,1,0,0,0,0,0,0,0
CHA,2010,1,0,0,0,0,0,0,0
MEM,2010,1,0,0,0,0,0,0,0
MEM,2010,1,0,0,0,0,0,0,0
SAS,2010,1,0,0,0,0,0,0,0
LAC,2010,1,0,0,0,0,0,0,0
CLE,2010,1,0,0,0,0,0,0,0
NJN,2010,1,0,0,0,0,0,0,0
SAC,2010,1,0,0,0,0,0,0,0
SAS,2010,1,0,0,0,0,0,0,0
PHI,2010,1,0,0,0,0,0,0,0
ATL,2010,1,0,0,0,0,0,0,0
ORL,2010,1,0,0,0,0,0,0,0
OKC,2010,1,0,0,0,0,0,0,0
PHI,2010,1,0,0,0,0,0,0,0
MIL,2010,1,0,0,0,0,0,0,0
TOR,2010,1,0,0,0,0,0,0,0
SAS,2010,1,0,0,0,0,0,0,0
ATL,2010,1,0,0,0,0,0,0,0
LAC,2010,1,0,0,0,0,0,0,0
UTA,2010,1,0,0,0,0,0,0,0
UTA,2010,1,0,0,0,0,0,0,0
NJN,2010,1,0,0,0,0,0,0,0
MIN,2010,1,0,0,0,0,0,0,0
