Player,Season,Pos,Team,G,Salary,PPG,APG,RPG,BPG,SPG,TPG
Arron Afflalo,2010,SG,DEN,82.0,2.33,8.8,1.7,3.1,0.4,0.6,0.9
LaMarcus Aldridge,2010,PF,POR,78.0,21.46,17.9,2.1,8.0,0.6,0.9,1.3
Tony Allen,2010,SG,BOS,54.0,2.12,6.1,1.3,2.7,0.4,1.1,1.2
Ryan Anderson,2010,PF,ORL,63.0,19.58,7.7,0.6,3.2,0.2,0.4,0.9
Carmelo Anthony,2010,SF,DEN,69.0,26.24,28.2,3.2,6.6,0.4,1.3,3.0
Trevor Ariza,2010,SF,HOU,72.0,7.42,14.9,3.8,5.6,0.6,1.8,2.2
Matt Barnes,2010,SF,ORL,81.0,2.13,8.8,1.7,5.5,0.4,0.7,1.4
Nicolas Batum,2010,SF,POR,37.0,22.43,10.1,1.2,3.8,0.7,0.6,0.7
Jerryd Bayless,2010,SG,POR,74.0,9.0,8.5,2.3,1.6,0.1,0.4,1.3
Michael Beasley,2010,PF,MIA,78.0,2.12,14.8,1.3,6.4,0.6,1.0,1.7
Marco Belinelli,2010,SG,TOR,66.0,6.61,7.1,1.3,1.4,0.1,0.6,0.9
Andrew Bogut,2010,C,MIL,69.0,2.33,15.9,1.8,10.2,2.5,0.6,1.9
Corey Brewer,2010,SG,MIN,82.0,7.58,13.0,2.4,3.4,0.4,1.4,2.0
Tyson Chandler,2010,C,CHA,51.0,13.0,6.5,0.3,6.3,1.1,0.3,1.8
Darren Collison,2010,PG,NOH,76.0,10.0,12.4,5.7,2.5,0.1,1.0,2.7
Nick Collison,2010,C,OKC,75.0,2.33,5.9,0.5,5.1,0.6,0.5,0.8
Mike Conley,2010,PG,MEM,80.0,28.53,12.0,5.3,2.4,0.2,1.4,2.1
Stephen Curry,2010,PG,GSW,80.0,34.68,17.5,5.9,4.4,0.2,1.9,3.0
Luol Deng,2010,SF,CHI,70.0,17.19,17.6,2.0,7.3,0.9,0.9,1.9
DeMar DeRozan,2010,SG,TOR,77.0,27.74,8.6,0.7,2.9,0.2,0.6,0.8
Goran Dragic,2010,PG,PHO,80.0,17.0,7.9,3.0,2.1,0.1,0.6,1.6
Kevin Durant,2010,SF,OKC,82.0,25.0,30.1,2.8,7.6,1.0,1.4,3.3
Wayne Ellington,2010,SG,MIN,76.0,6.27,6.6,1.0,2.1,0.1,0.3,1.0
Monta Ellis,2010,SG,GSW,64.0,2.25,25.5,5.3,4.0,0.4,2.2,3.8
Tyreke Evans,2010,SG,SAC,72.0,3.29,20.1,5.8,5.3,0.4,1.5,3.0
Raymond Felton,2010,PG,CHA,80.0,2.33,12.1,5.6,3.6,0.3,1.5,2.1
Marc Gasol,2010,C,MEM,69.0,22.64,14.6,2.4,9.3,1.6,1.0,2.0
Rudy Gay,2010,SF,MEM,80.0,8.41,19.6,1.9,5.9,0.8,1.5,2.1
Manu Ginobili,2010,SG,SAS,75.0,2.5,16.5,4.9,3.8,0.3,1.4,2.1
Eric Gordon,2010,SG,LAC,62.0,12.94,16.9,3.0,2.6,0.2,1.1,2.3
Danny Green,2010,SG,CLE,20.0,10.0,2.0,0.2,0.8,0.2,0.3,0.2
Devin Harris,2010,PG,NJN,64.0,4.4,16.9,6.6,3.2,0.3,1.2,2.8
Spencer Hawes,2010,C,SAC,72.0,6.02,10.0,2.2,6.1,1.2,0.4,1.8
George Hill,2010,PG,SAS,78.0,20.0,12.4,2.9,2.6,0.3,0.9,1.3
Jrue Holiday,2010,PG,PHI,73.0,25.69,8.0,3.8,2.6,0.2,1.1,2.1
Al Horford,2010,C,ATL,81.0,27.73,14.2,2.3,9.9,1.1,0.7,1.5
Dwight Howard,2010,C,ORL,82.0,23.5,18.3,1.8,13.2,2.8,0.9,3.3
Serge Ibaka,2010,PF,OKC,73.0,20.06,6.3,0.1,5.4,1.3,0.3,0.9
Andre Iguodala,2010,SF,PHI,82.0,14.81,17.1,5.8,6.5,0.7,1.7,2.7
Ersan Ilyasova,2010,PF,MIL,81.0,6.0,10.4,1.0,6.4,0.3,0.7,0.9
Jarrett Jack,2010,PG,TOR,82.0,2.33,11.4,5.0,2.7,0.1,0.7,2.0
Richard Jefferson,2010,SF,SAS,81.0,2.5,12.3,2.0,4.4,0.5,0.6,1.3
Amir Johnson,2010,PF,TOR,82.0,11.0,6.2,0.6,4.8,0.8,0.5,0.8
