Player,Season,Pos,Team,G,ORB,DRB,AST,STL,BLK,TOV,PTS
Arron Afflalo,2010.0,SG,DEN,82.0,59.0,193.0,138.0,46.0,30.0,74.0,724.0
LaMarcus Aldridge,2010.0,PF,POR,78.0,192.0,435.0,160.0,67.0,48.0,104.0,1393.0
Tony Allen,2010.0,SG,BOS,54.0,52.0,93.0,72.0,59.0,19.0,66.0,330.0
Chris Andersen,2010.0,PF,DEN,76.0,147.0,336.0,33.0,42.0,143.0,59.0,448.0
Ryan Anderson,2010.0,PF,ORL,63.0,70.0,132.0,37.0,25.0,14.0,56.0,487.0
Carmelo Anthony,2010.0,SF,DEN,69.0,152.0,302.0,222.0,88.0,30.0,209.0,1943.0
Joel Anthony,2010.0,C,MIA,80.0,123.0,126.0,12.0,20.0,109.0,45.0,218.0
Trevor Ariza,2010.0,SF,HOU,72.0,78.0,325.0,276.0,126.0,40.0,161.0,1072.0
D.J. Augustin,2010.0,PG,CHA,80.0,11.0,86.0,193.0,45.0,5.0,74.0,508.0
Leandro Barbosa,2010.0,PG,PHO,44.0,11.0,58.0,64.0,23.0,12.0,46.0,418.0
J.J. Barea,2010.0,PG,DAL,78.0,17.0,129.0,258.0,35.0,6.0,102.0,596.0
Matt Barnes,2010.0,SF,ORL,81.0,106.0,339.0,134.0,59.0,30.0,112.0,716.0
Brandon Bass,2010.0,PF,ORL,50.0,54.0,73.0,19.0,12.0,27.0,31.0,290.0
Nicolas Batum,2010.0,SF,POR,37.0,32.0,109.0,44.0,24.0,25.0,27.0,375.0
Jerryd Bayless,2010.0,SG,POR,74.0,18.0,102.0,172.0,26.0,5.0,94.0,630.0
Michael Beasley,2010.0,PF,MIA,78.0,123.0,375.0,100.0,80.0,49.0,131.0,1156.0
Marco Belinelli,2010.0,SG,TOR,66.0,14.0,81.0,89.0,42.0,5.0,60.0,469.0
Andrew Bogut,2010.0,C,MIL,69.0,208.0,493.0,127.0,39.0,175.0,131.0,1095.0
Corey Brewer,2010.0,SG,MIN,82.0,70.0,209.0,193.0,117.0,29.0,164.0,1066.0
Jose Calderon,2010.0,PG,TOR,68.0,23.0,119.0,404.0,47.0,7.0,99.0,699.0
DeMarre Carroll,2010.0,SF,MEM,71.0,53.0,97.0,33.0,28.0,9.0,24.0,209.0
Vince Carter,2010.0,SG,ORL,75.0,33.0,260.0,236.0,53.0,18.0,106.0,1244.0
Tyson Chandler,2010.0,C,CHA,51.0,114.0,206.0,16.0,17.0,55.0,91.0,333.0
Darren Collison,2010.0,PG,NOH,76.0,41.0,151.0,432.0,78.0,4.0,202.0,946.0
Nick Collison,2010.0,C,OKC,75.0,152.0,232.0,38.0,37.0,48.0,63.0,439.0
Mike Conley,2010.0,PG,MEM,80.0,30.0,161.0,425.0,109.0,12.0,170.0,959.0
Dante Cunningham,2010.0,PF,POR,63.0,54.0,106.0,14.0,24.0,22.0,15.0,243.0
Stephen Curry,2010.0,PG,GSW,80.0,48.0,308.0,472.0,152.0,19.0,243.0,1399.0
Luol Deng,2010.0,SF,CHI,70.0,131.0,381.0,143.0,66.0,61.0,134.0,1230.0
DeMar DeRozan,2010.0,SG,TOR,77.0,66.0,157.0,53.0,43.0,18.0,62.0,662.0
Boris Diaw,2010.0,PF,CHA,82.0,131.0,293.0,325.0,60.0,57.0,178.0,925.0
Goran Dragic,2010.0,PG,PHO,80.0,38.0,133.0,241.0,48.0,8.0,126.0,635.0
Jared Dudley,2010.0,SF,PHO,82.0,99.0,182.0,115.0,81.0,16.0,68.0,674.0
Mike Dunleavy,2010.0,SF,IND,67.0,25.0,211.0,103.0,38.0,15.0,72.0,666.0
Kevin Durant,2010.0,SF,OKC,82.0,105.0,518.0,231.0,112.0,84.0,271.0,2472.0
Wayne Ellington,2010.0,SG,MIN,76.0,33.0,126.0,74.0,20.0,5.0,74.0,505.0
Monta Ellis,2010.0,SG,GSW,64.0,47.0,210.0,340.0,143.0,25.0,244.0,1631.0
Tyreke Evans,2010.0,SG,SAC,72.0,66.0,314.0,414.0,109.0,26.0,216.0,1450.0
Raymond Felton,2010.0,PG,CHA,80.0,53.0,235.0,446.0,123.0,22.0,168.0,968.0
Randy Foye,2010.0,PG,WAS,70.0,16.0,114.0,228.0,33.0,10.0,94.0,704.0
Marc Gasol,2010.0,C,MEM,69.0,208.0,432.0,165.0,69.0,109.0,135.0,1008.0
Pau Gasol,2010.0,C,LAL,65.0,243.0,491.0,218.0,37.0,113.0,143.0,1190.0
Rudy Gay,2010.0,SF,MEM,80.0,115.0,357.0,153.0,118.0,64.0,169.0,1567.0
Alonzo Gee,2010.0,SG,WAS,11.0,15.0,18.0,7.0,7.0,1.0,10.0,81.0
Taj Gibson,2010.0,PF,CHI,82.0,226.0,385.0,70.0,50.0,104.0,114.0,735.0
Manu Ginobili,2010.0,SG,SAS,75.0,68.0,216.0,370.0,103.0,24.0,154.0,1237.0
Eric Gordon,2010.0,SG,LAC,62.0,25.0,135.0,186.0,69.0,14.0,144.0,1045.0
Marcin Gortat,2010.0,C,ORL,81.0,104.0,237.0,17.0,17.0,70.0,46.0,293.0
Danny Green,2010.0,SG,CLE,20.0,8.0,9.0,5.0,6.0,3.0,5.0,40.0
James Harden,2010.0,SG,OKC,76.0,47.0,197.0,137.0,80.0,20.0,106.0,753.0
Devin Harris,2010.0,PG,NJN,64.0,24.0,179.0,423.0,79.0,18.0,181.0,1080.0
Udonis Haslem,2010.0,PF,MIA,78.0,167.0,462.0,52.0,30.0,23.0,75.0,771.0
