Team,2010,2011,2012,2013,2014,2015,2016,2017
DEN,1,0,0,0,0,0,0,0
POR,1,0,0,0,0,0,0,0
BOS,1,0,0,0,0,0,0,0
ORL,1,0,0,0,0,0,0,0
MIA,1,0,0,0,0,0,0,0
MIL,1,0,0,0,0,0,0,0
CHA,1,0,0,0,0,0,0,0
OKC,1,0,0,0,0,0,0,0
CHI,1,0,0,0,0,0,0,0
PHO,1,0,0,0,0,0,0,0
SAS,1,0,0,0,0,0,0,0
CLE,1,0,0,0,0,0,0,0
ATL,1,0,0,0,0,0,0,0
UTA,1,0,0,0,0,0,0,0
DAL,1,0,0,0,0,0,0,0
DEN,0,1,0,0,0,0,0,0
POR,0,1,0,0,0,0,0,0
MEM,0,1,0,0,0,0,0,0
ORL,0,1,0,0,0,0,0,0
NOH,0,1,0,0,0,0,0,0
LAL,0,1,0,0,0,0,0,0
IND,0,1,0,0,0,0,0,0
OKC,0,1,0,0,0,0,0,0
CHI,0,1,0,0,0,0,0,0
SAS,0,1,0,0,0,0,0,0
PHI,0,1,0,0,0,0,0,0
ATL,0,1,0,0,0,0,0,0
DEN,0,0,1,0,0,0,0,0
MEM,0,0,1,0,0,0,0,0
ORL,0,0,1,0,0,0,0,0
NYK,0,0,1,0,0,0,0,0
LAL,0,0,1,0,0,0,0,0
IND,0,0,1,0,0,0,0,0
OKC,0,0,1,0,0,0,0,0
CHI,0,0,1,0,0,0,0,0
SAS,0,0,1,0,0,0,0,0
UTA,0,0,1,0,0,0,0,0
PHI,0,0,1,0,0,0,0,0
ATL,0,0,1,0,0,0,0,0
LAC,0,0,1,0,0,0,0,0
DAL,0,0,1,0,0,0,0,0
MEM,0,0,0,1,0,0,0,0
NYK,0,0,0,1,0,0,0,0
LAC,0,0,0,1,0,0,0,0
CHI,0,0,0,1,0,0,0,0
GSW,0,0,0,1,0,0,0,0
DEN,0,0,0,1,0,0,0,0
OKC,0,0,0,1,0,0,0,0
MIL,0,0,0,1,0,0,0,0
SAS,0,0,0,1,0,0,0,0
ATL,0,0,0,1,0,0,0,0
IND,0,0,0,1,0,0,0,0
LAL,0,0,0,1,0,0,0,0
BRK,0,0,0,1,0,0,0,0
POR,0,0,0,0,1,0,0,0
MEM,0,0,0,0,1,0,0,0
WAS,0,0,0,0,1,0,0,0
LAC,0,0,0,0,1,0,0,0
MIA,0,0,0,0,1,0,0,0
SAS,0,0,0,0,1,0,0,0
GSW,0,0,0,0,1,0,0,0
HOU,0,0,0,0,1,0,0,0
OKC,0,0,0,0,1,0,0,0
TOR,0,0,0,0,1,0,0,0
DAL,0,0,0,0,1,0,0,0
IND,0,0,0,0,1,0,0,0
ATL,0,0,0,0,1,0,0,0
BRK,0,0,0,0,1,0,0,0
POR,0,0,0,0,0,1,0,0
MEM,0,0,0,0,0,1,0,0
NOP,0,0,0,0,0,1,0,0
HOU,0,0,0,0,0,1,0,0
LAC,0,0,0,0,0,1,0,0
MIL,0,0,0,0,0,1,0,0
SAS,0,0,0,0,0,1,0,0
GSW,0,0,0,0,0,1,0,0
DAL,0,0,0,0,0,1,0,0
TOR,0,0,0,0,0,1,0,0
ATL,0,0,0,0,0,1,0,0
BRK,0,0,0,0,0,1,0,0
CLE,0,0,0,0,0,1,0,0
SAS,0,0,0,0,0,0,1,0
MEM,0,0,0,0,0,0,1,0
HOU,0,0,0,0,0,0,1,0
CHO,0,0,0,0,0,0,1,0
GSW,0,0,0,0,0,0,1,0
OKC,0,0,0,0,0,0,1,0
MIA,0,0,0,0,0,0,1,0
TOR,0,0,0,0,0,0,1,0
IND,0,0,0,0,0,0,1,0
DAL,0,0,0,0,0,0,1,0
ATL,0,0,0,0,0,0,1,0
CLE,0,0,0,0,0,0,1,0
LAC,0,0,0,0,0,0,1,0
DET,0,0,0,0,0,0,1,0
SAS,0,0,0,0,0,0,0,1
HOU,0,0,0,0,0,0,0,1
MIL,0,0,0,0,0,0,0,1
OKC,0,0,0,0,0,0,0,1
TOR,0,0,0,0,0,0,0,1
IND,0,0,0,0,0,0,0,1
LAC,0,0,0,0,0,0,0,1
UTA,0,0,0,0,0,0,0,1
BOS,0,0,0,0,0,0,0,1
ATL,0,0,0,0,0,0,0,1
CLE,0,0,0,0,0,0,0,1
WAS,0,0,0,0,0,0,0,1
BOS,0,0,0,0,0,0,1,0
GSW,0,0,0,0,0,0,0,1
DAL,0,1,0,0,0,0,0,0
MEM,0,0,0,0,0,0,0,1
CHI,0,0,0,0,0,0,0,1
POR,0,0,0,0,0,0,0,1
POR,0,0,0,0,0,0,1,0
WAS,0,0,0,0,0,1,0,0
CHI,0,0,0,0,0,1,0,0
BOS,0,0,0,0,0,1,0,0
CHI,0,0,0,0,1,0,0,0
CHA,0,0,0,0,1,0,0,0
HOU,0,0,0,1,0,0,0,0
BOS,0,0,0,1,0,0,0,0
MIA,0,0,0,1,0,0,0,0
BOS,0,0,1,0,0,0,0,0
MIA,0,0,1,0,0,0,0,0
BOS,0,1,0,0,0,0,0,0
NYK,0,1,0,0,0,0,0,0
MIA,0,1,0,0,0,0,0,0
LAL,1,0,0,0,0,0,0,0
