Season,Team
2010,DEN
2010,POR
2010,BOS
2010,ORL
2010,MIA
2010,MIL
2010,CHA
2010,OKC
2010,CHI
2010,PHO
2010,SAS
2010,CLE
2010,ATL
2010,UTA
2010,DAL
2011,DEN
2011,POR
2011,MEM
2011,ORL
2011,NOH
2011,LAL
2011,IND
2011,OKC
2011,CHI
2011,SAS
2011,PHI
2011,ATL
2012,DEN
2012,MEM
2012,ORL
2012,NYK
2012,LAL
2012,IND
2012,OKC
2012,CHI
2012,SAS
2012,UTA
2012,PHI
2012,ATL
2012,LAC
2012,DAL
2013,MEM
2013,NYK
2013,LAC
2013,CHI
2013,GSW
2013,DEN
2013,OKC
2013,MIL
2013,SAS
2013,ATL
2013,IND
2013,LAL
2013,BRK
2014,POR
2014,MEM
2014,WAS
2014,LAC
2014,MIA
2014,SAS
2014,GSW
2014,HOU
2014,OKC
2014,TOR
2014,DAL
2014,IND
2014,ATL
2014,BRK
2015,POR
2015,MEM
2015,NOP
2015,HOU
2015,LAC
2015,MIL
2015,SAS
2015,GSW
2015,DAL
2015,TOR
2015,ATL
2015,BRK
2015,CLE
2016,SAS
2016,MEM
2016,HOU
2016,CHO
2016,GSW
2016,OKC
2016,MIA
2016,TOR
2016,IND
2016,DAL
2016,ATL
2016,CLE
2016,LAC
2016,DET
2017,SAS
2017,HOU
2017,MIL
2017,OKC
2017,TOR
2017,IND
2017,LAC
2017,UTA
2017,BOS
2017,ATL
2017,CLE
2017,WAS
2016,BOS
2017,GSW
2011,DAL
2017,MEM
2017,CHI
2017,POR
2016,POR
2015,WAS
2015,CHI
2015,BOS
2014,CHI
2014,CHA
2013,HOU
2013,BOS
2013,MIA
2012,BOS
2012,MIA
2011,BOS
2011,NYK
2011,MIA
2010,LAL
