Team,2010,2011,2012,2013,2014,2015,2016,2017
ATL,1,1,1,1,1,1,1,1
BOS,1,1,1,1,0,1,1,1
BRK,0,0,0,1,1,1,0,0
CHA,1,0,0,0,1,0,0,0
CHI,1,1,1,1,1,1,0,1
CHO,0,0,0,0,0,0,1,0
CLE,1,0,0,0,0,1,1,1
DAL,1,1,1,0,1,1,1,0
DEN,1,1,1,1,0,0,0,0
DET,0,0,0,0,0,0,1,0
GSW,0,0,0,1,1,1,1,1
HOU,0,0,0,1,1,1,1,1
IND,0,1,1,1,1,0,1,1
LAC,0,0,1,1,1,1,1,1
LAL,1,1,1,1,0,0,0,0
MEM,0,1,1,1,1,1,1,1
MIA,1,1,1,1,1,0,1,0
MIL,1,0,0,1,0,1,0,1
NOH,0,1,0,0,0,0,0,0
NOP,0,0,0,0,0,1,0,0
NYK,0,1,1,1,0,0,0,0
OKC,1,1,1,1,1,0,1,1
ORL,1,1,1,0,0,0,0,0
PHI,0,1,1,0,0,0,0,0
PHO,1,0,0,0,0,0,0,0
POR,1,1,0,0,1,1,1,1
SAS,1,1,1,1,1,1,1,1
TOR,0,0,0,0,1,1,1,1
UTA,1,0,1,0,0,0,0,1
WAS,0,0,0,0,1,1,0,1
